dat[, 3] - dat[, 1]	gene_symbols	ensg_ids
-0.00482693742361529	RP11-368I23.2	ENSG00000242268.2
0.196108629208414	C11orf84	ENSG00000168005.6
-0.311445217684862	RP11-742D12.2	ENSG00000270112.3
0.568172508839921	C12orf5	ENSG00000078237.5
1.03831186742065	MIR4802	ENSG00000263642.1
-1.72974514119901	NUP210P2	ENSG00000225275.4
-1.85990888193096	DNAH3	ENSG00000158486.11
1.40120344841565	LINC01224	ENSG00000269416.3
0.264245360229907	CREB3L3	ENSG00000060566.11
-0.0247618947777226	CTD-2382E5.4	ENSG00000259883.1
0.267087366879409	RPL7L1P12	ENSG00000231981.3
0.617400333685509	Y_RNA	ENSG00000201788.1
-0.0402715259568258	RP11-597A11.11	ENSG00000273639.2
0.769476330748511	ARL8B	ENSG00000134108.10
0.288679335892281	CALB2	ENSG00000172137.16
-0.525254196646608	MFSD3	ENSG00000167700.6
0.600783793094994	PIGV	ENSG00000060642.8
2.02201165016623	DACH1	ENSG00000276644.2
-0.511913175015507	RP11-578F21.13	ENSG00000271616.1
-0.700144917252806	CHIAP1	ENSG00000236040.1
-0.451392614537649	ATF7IP2	ENSG00000166669.11
1.18329916190698	RC3H2	ENSG00000056586.13
0.457663253857219	ZNF708	ENSG00000182141.7
0.908149132547583	RP5-1071N3.1	ENSG00000231105.1
0.0124605272342087	snoU2-30	ENSG00000201882.1
-0.20734205602674	AP000892.6	ENSG00000280143.1
-0.114921724363259	STAU1	ENSG00000124214.17
-1.54476086340627	RP11-697H9.5	ENSG00000271100.1
-0.986980827405326	RP11-434D2.10	ENSG00000264981.1
0.697085261406369	RP11-15J22.8	ENSG00000275265.1
-0.377183895199473	GARNL3	ENSG00000136895.16
0.720180290534155	DNM3-IT1	ENSG00000233540.1
-1.10072290657857	RNA5SP75	ENSG00000252650.1
-0.79281831862896	MOGAT2	ENSG00000166391.12
0.813780006523706	AC108868.6	ENSG00000232001.1
-0.264851427234457	BEND3P3	ENSG00000278616.1
0.0114294505460121	PFN2	ENSG00000070087.11
-0.481013153899144	RPL36AP6	ENSG00000231293.1
0.88130108418164	CASC23	ENSG00000255420.1
0.0165027730334093	RP11-276H7.2	ENSG00000227959.1
-0.91411122766379	DNM1P41	ENSG00000280038.1
-1.13044958929183	RP11-640I15.1	ENSG00000266261.1
0.289473361183624	RMND5A	ENSG00000153561.10
1.35451870002762	RAD23A	ENSG00000179262.7
-0.690262219887475	RP11-166A12.1	ENSG00000251538.3
0.191436568066336	RP11-162A23.5	ENSG00000227586.5
0.355410746073153	CTD-2582M21.1	ENSG00000251044.2
0.531282489568576	SIN3B	ENSG00000127511.7
0.0721840437216888	OR2D2	ENSG00000166368.2
0.10266276352493	SERPINB11	ENSG00000206072.10
0.325125951288671	RP1-278O22.2	ENSG00000234900.1
-1.62813841100139	RP11-725G5.2	ENSG00000258630.1
-0.446741381417171	RP11-121L11.3	ENSG00000249830.1
0.846888899909033	LINC00705	ENSG00000225269.2
-0.353873800850501	RPL7P17	ENSG00000214062.5
-1.83067556133513	TLL2	ENSG00000095587.8
-0.955368212190927	AWAT2	ENSG00000147160.7
-0.141054365767109	RP11-94L15.2	ENSG00000264198.2
-0.121407363919074	TRABD2B	ENSG00000269113.3
2.11960860811639	HCG4P5	ENSG00000227766.1
-0.582513001786924	NTF3	ENSG00000185652.9
-0.20925289257051	MIR5004	ENSG00000264085.1
1.80029006293177	IL32	ENSG00000008517.14
-0.353407886055138	RP11-927P21.2	ENSG00000266644.1
1.08881240809735	RP11-77P6.2	ENSG00000227896.2
-0.680825049977227	PTPN4	ENSG00000088179.6
-0.278879504316403	PROKR2	ENSG00000101292.7
1.36971342956464	RP11-587H10.2	ENSG00000253634.1
0.126048350626897	COL15A1	ENSG00000204291.8
0.198494213773344	NUCB2	ENSG00000070081.13
0.0186730720355165	SERPINB12	ENSG00000166634.4
-0.488678747218084	RNU6-428P	ENSG00000199812.1
-0.0827291879499245	RP11-709D24.5	ENSG00000261789.1
0.516893269368837	RP11-369E15.3	ENSG00000254092.1
0.134611749752378	TMEM143	ENSG00000161558.8
-0.58996714336432	LINC00636	ENSG00000240423.1
-0.297503504180282	Metazoa_SRP	ENSG00000278732.1
0.0562009578881305	RN7SL560P	ENSG00000264438.2
0.282954721339371	BMP2KL	ENSG00000204113.6
0.0349555148974119	RNU6-820P	ENSG00000207000.1
-0.815793460159113	RP11-1007J8.1	ENSG00000254131.1
0.212651953807712	RP1-86D1.3	ENSG00000279776.1
0.33550018593918	RP11-638L3.4	ENSG00000264104.1
0.916107383820965	SERTAD2	ENSG00000179833.4
-0.700244469395304	ALDOB	ENSG00000136872.15
0.868992021351644	OTUD1	ENSG00000165312.6
0.433310812973826	ST3GAL6	ENSG00000064225.10
-1.36497340070729	RP11-861E21.1	ENSG00000267108.1
